title,link,like,angry
`미실현 이익` 재초환 합헌 결정…부담금 폭탄에 강남 재건축 `패닉`,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002577350,28,60
"헌재, 재건축초과이익환수제에 합헌 결정…재건축 조합 '패닉'(종합)",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011301964,227,747
‘초과이익환수’ 덮친 재건축 비상… 강남권 호가 3억원 하락도,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003261286,14,47
분양가상한제에 초과이익환수제까지…강남재건축 2~3억 낮춘 급매물 나와,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003261247,13,29
내년 민간아파트 32.6만가구…재개발·재건축發 분양 절반 육박,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0004376396,5,3
"헌재, 재건축 초과이익 부담금 징수 '합헌'…갈 길 잃은 재건축 사업 대안은 ...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003425638,97,334
12·16 대책 前 관리처분 인가 재건축·재개발 대출 규제 예외,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=055&aid=0000780500,0,0
"재개발·재건축 10건 따내… 현대건설, 올 수주 1위올라",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002411913,0,0
16일 이전 관리처분인가 받은 재건축·재개발 조합원도 대출규제 예외,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003260104,14,222
헌재 “재건축초과이익환수법 합헌”… 정부 손 들어줬다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=469&aid=0000452367,3,8
"""상한제 적용하면 분담금이 1억""…재건축 현장 ‘혼돈상태'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004542526,8,102
"현대건설, 부산 가천2구역 재개발 수주… 올해 정비사업 수주 1위 전망",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001616704,0,0
강남구 아파트 10채중 7채 주택담보대출 못받는다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003667128,24,65
"'12·16 대책의 모순'...팔라면서 퇴로 차단, 재건축하라며 대출은 제한",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003669751,9,150
"""둔촌주공 재건축, 잔금대출 못받나요""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004539122,22,120
"재건축 딱지, 잔금 대출 기준은 “분양가 아닌 시세”",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=025&aid=0002961859,5,15
"""로또 포기, 재건축 이주 막막""…15억 초과 대출금지 일파만파",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=025&aid=0002961762,34,123
숨고르던 '미니 재건축' 막판 시공사 선정 박차…서울·대구 봇물,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002370795,6,1
"서울 재건축·재개발 분양가, 4년간 53% 뛰어…올해만 28%↑",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011125386,11,112
"서울 27개동, 94개 재건축 단지 후폭풍…강남4구에 집중",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011193767,18,175
"분양가상한제 타격… 서울 재개발, 재건축시장 전체가 ‘시계제로’",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=005&aid=0001256732,7,37
"서울 재건축·재개발 분양가, 4년여간 53% '급등'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004219680,0,7
"재건축 규제에 일감 '뚝'…대형건설사, 리모델링 진출 가속화",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0004355706,3,6
[단독]압구정4구역 재건축 사실상 중단…분양가 상한제 첫 사례,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009547704,26,84
"전국 재개발·재건축 80곳, 내달초 상한제 저지 대규모 야간시위(종합)",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011045862,87,21
떨고있는 재개발…'2차 제재' 타깃 된 신반포4·장위6·면목3,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004334405,6,14
분양가 상한제 이르면 10월 시행…재건축·재개발 '초비상',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011014980,40,93
둔촌주공 등 강남 재건축 조합 ‘패닉’…후분양 ‘원점’ 재검토,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=028&aid=0002464490,41,29
[12월 분양 단지는] 개포주공4·홍은1 재건축...수도권서만 2.8만가구 대기,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003663025,1,0
"서울 재산세 강남구 2천962억·강북구 213억…""14배 차이""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0010951339,27,126
분양 앞둔 재건축·재개발 단지 상한제 피해도 '산넘어 산',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011000913,39,56
재건축 관리처분단지 분양가 상한제 6개월 유예,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=028&aid=0002469878,7,61
서울 27개동에 분양가상한제…“재건축 물건너갔다” 반발,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0010761210,7,21
"관리처분 인가 받은 재건축단지, 분양가상한제 6개월 유예",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003244629,6,33
"""서두르자"" vs ""지켜보자""…상한제 시행 앞두고 엇갈리는 재건축",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011037764,9,59
"상한제 피한 서울 재개발·재건축, 연내 5387가구 쏟아진다",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004516375,2,0
"분양가 상한제, 재건축 ‘동 단위’ 핀셋 지정…풍선효과 우려도",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=028&aid=0002473922,4,6
10·1 대책 문구 하나에 강남 재건축 대혼란,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000444518,0,61
“분양가 상한제 소급 적용?” 혼돈의 재건축 아파트단지,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003228151,36,158
‘분양가 상한제’ 후폭풍 이어질까…재건축 조합원 “재산권 침해” 반발 여...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002565183,1,15
재개발·재건축 단지 100여곳 '직격탄'…사업 차질 불가피,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004237283,7,47
서울 27개 동 분양가상한제 적용…“재건축 물 건너갔다” 반발,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0010761152,26,37
‘분양가상한제’ 빠진 목동 주민들 “재건축 장기지연 우려”,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002407634,2,30
상한제에도 강남 재건축 호가 '꼿꼿'…매도-매수 '눈치싸움',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0004300990,9,27
"분양가 상한제 영향?…재건축 거래 주춤, 신축아파트는 강세",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0010987726,8,26
분양가상한제 대상 대폭 확대···강남·과천·광명 재건축 타깃,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003601598,32,88
"상한제 피해도 HUG 통제…""둔촌주공 분양가 3천만원대 전망""[한숨 돌린 재건축...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004304185,1,20
상한제 비켜간 흑석동·목동…재건축 ‘탄력’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=032&aid=0002973841,5,29
재건축 시작도 못한 압구정도 폭격한 정부… 앞으로 보게될 3가지 풍경,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000447768,13,107
27개洞 분양가상한제… 재건축 87개단지 대상,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003251875,2,8
분양가 상한제 유예 첫 주말…강남 재건축 '썰렁',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004219272,2,0
"'상한제' 숨죽인 강남 재건축 ""3천 낮춰도 안팔려""…거래 올스톱",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0010951153,96,58
소급 적용된 분양가 상한제… 이 재건축은 어쩌나,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=023&aid=0003466776,25,204
분양가 상한제 어떻게 적용될까…강남권 재건축단지 '혼란',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0010941494,42,87
강남 재건축 ‘분양가 상한제’ 타격 클듯… 김현미 “민간아파트에도 도입 검...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003227961,88,322
"강남 아파트 시장 ""일단 지켜보자"" 관망…재건축은 분양 서둘러",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011118031,7,27
다시 불붙은 강남재건축… '뭉칫돈 유턴' 잇달아 신고가 찍어,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004299398,20,10
강남 재건축 단지 '상한제 적용되나' 촉각…거래 숨고르기,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0010922575,19,19
"[일문일답]'상한제' 강남 재건축 내년 4월28일 적용… ""분양가 HUG 기준보다 ...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004567448,4,13
[르포]상한제 폭탄 피하고 보자…방공호 숨은 강남 재건축,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004568145,1,12
매매가 상위 단지 보니...강남 재건축 상위권 싹쓸이,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003662926,22,47
"[르포] ""당장 이달 조합원 총회""…상한제 앞두고 바빠진 강남권 재건축",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000440955,11,44
11월 서울 재건축·재개발 등 6358가구 분양…전국 4만4034가구,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0008878029,6,3
반격 나선 재건축 조합…여론·소송戰 ‘투트랙 대응’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001573514,55,6
"연내 분양 예정 서울 재건축 5곳 운명은?…""일반 분양가 최대 변수""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009547013,2,22
상한제 비웃는 강남 아파트…신축도 재건축도 신고가 행진,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004582210,3,3
서울 재개발·재건축 물량 풀린다…연내 5200가구 분양,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004471003,1,1
“상한제 넘어도 HUG가 발목” 계산기 두드리는 강남권 재건축,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004480947,2,16
내년 아파트 38만6천가구 분양…절반 이상 재개발·재건축,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002197187,1,0
서울서 연말까지 재개발·재건축 5천300가구 일반분양,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0011089732,2,0
[우리동네 지역전문가] 정비 사업 진행돼 강남 신흥 부촌으로 급부상... ‘강...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004483346,4,1
"국토부, 재건축·재개발 조합 현장점검…“불법 적발 시 최대 형사고발”",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000166070,4,3
내년 3∼5월 10만채 분양시장 달군다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003261586,3,0
"서울 8개 재건축·재개발조합, 국토부에 분양가상한제 유예 청원",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003230317,32,76
[S머니]상한제단지 10곳 중 9곳 강남3구···압구정4 재건축은 터널속으로,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003648474,0,1
올 연말 서울에서 ‘재개발·재건축’ 10개 단지 분양 쏟아진다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000593236,0,0
수천만원 떨어진 강남 재건축 vs 수억 급등한 강남 신축 아파트,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004278821,22,109
[S머니]재개발·재건축 규제에...서울 '새 아파트' 17만가구 줄어,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003570350,14,40
분양가상한제 쇼크?…재건축 상승폭 절반 `뚝`,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004395316,8,4
재건축단지 `폭풍전야` … 집단행동 나설까,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002541973,16,63
"바뀌는 정부대책에 재건축조합 '우왕좌왕'…""정책 일관성 없다"" 부글부글",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009338594,2,35
"갈 곳 잃은 유동자금, 재건축·재개발로 유턴",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004298875,7,9
"“더 이상 못 참겠다!” 재건축조합, 서울시에 잇따른 항의시위…왜?",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003209747,319,35
"“다음 정권까지 연기하겠다"" 계획 수정 나선 재건축조합",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004448218,90,22
강남 재건축·신축 중심 매수세 증가..서울 아파트값 33주만에 하락세 끝,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004252265,15,3
"분양가상한제, 강남3구 재건축 추진단지는 모두 해당",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001599905,0,3
분담금 확정된 재건축까지...시장논리 외면한 가격통제 우려,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003602192,2,27
