title,link,like,angry
[2020 전망]공급 과잉? '살고 싶은 집'은 부족하다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004546056,4,2
대출 옥죄고 종부세 인상…12·16 초강력 부동산 대책 영향은,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=050&aid=0000052290,14,26
[대예측 2020-부동산] “서울이라고 다 같은 서울 아니죠”…超양극화·超국지...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001619434,6,17
‘미친 집값’에 초강력 규제…세밑까지 부동산은 정부·시장 싸움터,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004546058,9,117
내년 상반기 '잠잠' 하반기 '상승'?…2020년 부동산 전망은,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0004381760,8,8
"대권 시동거나?…권한없는 박원순, 부동산 空約 무더기 남발",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002577556,3,239
[팩트파인더]“주택 공급 부족” vs “공포 마케팅” 누구 말이 맞나?,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=469&aid=0000453106,9,53
"급매물 출현, 매물적체로 이어질까…내년 부동산시장 어디로",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009631170,16,16
[새 출발 2020 부동산 시장] 서울 vs 지방 집값 초양극화…9억~15억 아파트 하...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004265909,3,28
박원순이 신년사서 밝힌 '부동산 국민공유제'는 무엇?…찬반양론 '팽팽',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009627265,19,834
[취재K] ‘공급부족’ 아니라는데…내년 아파트 공급 늘어날까? 줄어들까?,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0010777069,16,39
"규제 피한 지방 부동산 내년은… ""입주량 줄어 오를듯""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000460559,5,26
"""서울서 돈 잃으면 X신"" 文정부서 개념 바뀐 부동산 투자",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=025&aid=0002963878,96,"2,691"
[2019 부동산] '부작용 되풀이'…文정부 '오기'의 릴레이 대책,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=629&aid=0000008111,4,63
"""부동산규제 내년 서울 아파트 값만 1.2%↑…전국 집값 묶인다""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0004375385,6,125
12·16 부동산 대책 일주일…강남권 “일단 지켜보자” 잠잠,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000201089,1,4
12·16 대책 여파… 서울 부동산 거래 줄며 관망세,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004346558,10,25
