title,link,like,angry
"전지현, 부동산 큰손 1위 '870억 원대 보유' 투자 비법은?",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=018&aid=0004544194,0,21
개통 앞둔 철도노선 인근 수익형부동산 노려라,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004489934,0,0
"삼성의료원 상권 약국, 월 매출 강남구 약국 평균 4배 육박",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003257848,71,"2,512"
명동-홍대앞 텅 빈 점포 “권리금 없습니다”… 전통상권까지 불황 한파,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0004355709,0,3
10월 서울 상업·업무용 부동산거래에 1조2790억 뭉칫돈,https://search.naver.com/p/crd/rd?m=1&px=289&py=1545&sx=289&sy=712&p=UCvnIsp0JywssZWRiQhssssss58-047927&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%83%81%EA%B6%8C%26%EB%B6%80%EB%8F%99%EC%82%B0&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=KfdiWz2UvILGv%2BsCe%2FpJQA%3D%3D&time=1581305904391&bt=32&a=nws*e.nav&r=16&i=08138263_000000000000000004355709&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D421%26aid%3D0004355709,0,3
[단독]'신사동 가로수길' 법정도로명 추진…상권 다시 뜰까,https://search.naver.com/p/crd/rd?m=1&px=289&py=1545&sx=289&sy=712&p=UCvnIsp0JywssZWRiQhssssss58-047927&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%83%81%EA%B6%8C%26%EB%B6%80%EB%8F%99%EC%82%B0&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=KfdiWz2UvILGv%2BsCe%2FpJQA%3D%3D&time=1581305904391&bt=32&a=nws*e.nav&r=16&i=08138263_000000000000000004355709&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D421%26aid%3D0004355709,0,3
[이슈+] 서울 부동산에만 쏠리는 1000조 부동자금,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004251305,4,14
"[단독]""부동산 고수익 보장"" 거액 회원 모집했다 '덜미'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003659770,0,7
[부동산] 자사고·특목고 폐지가 몰고 올 ‘8학군 집값’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=053&aid=0000026779,5,12
"어떤 부동산에 누가 세들어 있나… 리츠, 알아야 번다",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=023&aid=0003486622,1,0
