title,link,like,angry
불황에도 잘나가는 '역세권 품은 오피스텔',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004152530,0,0
"변곡점에 선 부동산시장, 내년 유망단지는?",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002302562,0,2
"[부동산캘린더] 'e편한세상 청계 센트럴포레' 등 전국 21곳, 7526가구 청약",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000423403,0,0
"강서구 역세권 아파트 `화곡푸르지오` , 전용 129㎡ 전세 거래 완료",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004280552,0,0
집값 떨어지니 가계빚 걱정…'부동산의 그늘',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=422&aid=0000354150,282,618
오락가락 부동산정책에 혼란… 3기 신도시 불만 가중,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004153546,30,212
"2호선 역세권 대단지 아파트 `센트라스`, 전용 84㎡ 최근 전세 거래 완료",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004280581,0,0
오락가락 부동산정책에 혼란… 3기 신도시 불만 가중,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004153546,30,212
불광동 독바위역 역세권에 임대주택 1300가구 짓는다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=023&aid=0003417906,2,0
"[단독] GIC, 한국 주거용 부동산에 첫 투자",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004278889,8,0
서울 지하철 2호선 강변역 인근에 역세권 청년주택,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000720453,0,0
역세권 부동산가치 반경 250m가 가른다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003474288,16,14
3기 신도시 확정·GTX 조기착공 | 철도망으로 가까워지는 수도권 부동산 재테...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000061205,8,3
GTX-A 킨텍스 역세권 '라몬테 이탈리아노' 분양 모집에 나서,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004066862,94,13
올해 서울 청약경쟁률 TOP 'Two+α'··· 환승역 역세권 노려라,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004279867,5,38
"GTX-A 노선 27일 착공, 서북권 부동산 시장 '기대'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=076&aid=0003361759,0,0
박원순 “정부 부동산정책 권한 지자체로 넘기라”,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004277606,14,33
"[고객만족도 1위] 스테이타워 주안, 더블역세권 오피스 분양 '속도'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0010518845,57,22
내년 수도권 토지보상금 14조…부동산시장 들쑤시나,https://search.naver.com/p/crd/rd?m=1&px=335&py=1497&sx=335&sy=712&p=UC4TusprvxssslWFKPwsssssstV-035155&q=%EC%84%9C%EC%9A%B8%26%EB%B6%80%EB%8F%99%EC%82%B0%26%EC%97%AD%EC%84%B8%EA%B6%8C&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=fTIjFWuBVTw93U0a7qWbew%3D%3D&time=1581389393249&bt=8&a=nws*h.nav&r=14&i=880000D8_000000000000000010518845&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D001%26aid%3D0010518845,57,22
탄력받은 GTX 사업…역세권 부동산 시장 '술렁',https://search.naver.com/p/crd/rd?m=1&px=335&py=1497&sx=335&sy=712&p=UC4TusprvxssslWFKPwsssssstV-035155&q=%EC%84%9C%EC%9A%B8%26%EB%B6%80%EB%8F%99%EC%82%B0%26%EC%97%AD%EC%84%B8%EA%B6%8C&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=fTIjFWuBVTw93U0a7qWbew%3D%3D&time=1581389393249&bt=8&a=nws*h.nav&r=14&i=880000D8_000000000000000010518845&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D001%26aid%3D0010518845,57,22
예술의 전당 앞 '역세권 시프트' 들어선다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004382913,9,4
"잠실 오피스텔 '성희 파크빌' 분양 ""교통 접근성 및 주거 인프라 탄탄한 트리...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000721425,0,0
"분양시장, 환승역 역세권 단지 프리미엄 주목",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004278675,1,0
"성동구 아파트 `행당한진타운` , 초역세권·숲세권 입지로 인기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000721240,0,0
"[부동산분석] 서울 아파트 전셋값 0.09%↓하락, 10년만에 최저치....하락세는...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004277977,3,0
"더블역세권 품은 '루원시티 SK 리더스 뷰' 오피스텔, 실수요자·투자자 이목 ...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004278025,6,0
"강서구 아파트 `가양우성` , 9호선 초역세권 단지로 인기",https://search.naver.com/p/crd/rd?m=1&px=307&py=1542&sx=307&sy=712&p=UC4T5wprvTossTMBRxRssssssSV-321663&q=%EC%84%9C%EC%9A%B8%26%EB%B6%80%EB%8F%99%EC%82%B0%26%EC%97%AD%EC%84%B8%EA%B6%8C&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=fTIjFWuBVTw93U0a7qWbew%3D%3D&time=1581389428381&bt=8&a=nws*e.nav&r=16&i=880000BC_000000000000000004278025&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D009%26aid%3D0004278025,6,0
"역세권·블루조망권 한남뉴타운 5구역, 우수한 입지로 눈길",https://search.naver.com/p/crd/rd?m=1&px=307&py=1542&sx=307&sy=712&p=UC4T5wprvTossTMBRxRssssssSV-321663&q=%EC%84%9C%EC%9A%B8%26%EB%B6%80%EB%8F%99%EC%82%B0%26%EC%97%AD%EC%84%B8%EA%B6%8C&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=fTIjFWuBVTw93U0a7qWbew%3D%3D&time=1581389428381&bt=8&a=nws*e.nav&r=16&i=880000BC_000000000000000004278025&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D009%26aid%3D0004278025,6,0
파주 운정신도시 역세권 '야당역 이더펠리체' 조성…1~2인 특화 오피스텔,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000720621,0,0
급물살 `GTX-A` 역세권 따라 4천가구 새아파트,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275196,0,2
"송파구 장지동 아파트 `송파파인타운3단지` , 역세권·몰세권 입지로 눈길",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004277894,3,0
부동산 규제 피해 `수익형 부동산`으로 주목! 2019년 눈길끄는 오피스·상가 ...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002500325,0,0
"""서울길 급행 뚫린다""…의정부·양주·군포 GTX 역세권 집값 수혜 '기대'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004060427,12,9
"용산·마포 누리는 더블 역세권 ‘용산 롯데캐슬 센터포레’, 단지 내 상가 2...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000173580,0,0
"[부동산캘린더] '힐스테이트 판교 엘포레' 등 전국 16곳, 6704가구 청약",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000422398,1,2
마곡역 역세권 입지 '한일 노벨리아 타워' 눈길,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002197131,0,0
"집값과열에 멈춰선 '광운대역세권개발', 택지지구 선정으로 날개달까",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0003750490,29,9
'김포도시철도 2019년 개통!' 운양역세권 누리는 공공지원 민간임대 '한강롯데...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000720344,2,1
서울역 북부·대전역세권 등 4곳 개발 본격화,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004064143,19,6
[S머니] 넓어지는 역세권..환승역 '빨대효과'로 상권지도 바뀐다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003465550,10,2
"동작구 숲세권·역세권 아파트 `상도엠코타운애스톤파크` , 동작구 개발에 눈...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004276926,3,1
잠실 성희 파크빌 오피스텔 분양 소식 “교통 접근성·주거 인프라 넓힌 트리...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003328868,0,0
"3기 신도시 '남양주, 하남, 인천 계양' 부동산 시장에 미칠 파장은?",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000458324,1,0
내집마련 한다면?…신혼희망타운 vs. 서울 역세권 4억짜리 아파트,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002297448,6,4
“급매도 잘 안팔려요” 부동산 거래 절벽 서울 전역으로 확산,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003187412,604,233
김수현이 꽂힌 역세권 재생…곳곳 `닻` 올려,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004261203,8,25
"GTX-A 노선 착공 코앞, 역세권 가치 더한 ‘연신내 트리플파크’ 조합원 모집...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001478954,3,0
"분당선·신분당선 초역세권 아파트 정자동 `상록우성`, 최근 전세 거래",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275896,0,0
"강북구 미아동 아파트 `벽산라이브파크` , 숲세권·초역세권 입지로 인기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275903,2,0
올 수도권 분양단지 청약률 상위 10곳 중 9곳이 ‘역세권’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002298624,1,1
"강북구 미아뉴타운 아파트 `SK북한산시티` , 초역세권 단지로 눈길",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275016,6,1
[경매사냥] 3억원 미만 서울 역세권 다세대…마포구 서교동 성일서교빌라 43....,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000421860,2,6
"HDC현대산업개발, 1호선 봉명역 역세권 ‘봉서산 아이파크’ 분양중",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002300465,0,1
새로 닻 올리는 서울 재개발…왕십리역세권도 가세,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000420864,13,6
'내 집 마련' 1번 조건은 역시 역세권,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004120059,7,3
"광교신도시 이의동 아파트 `e편한세상광교` , 초역세권·직주근접 입지로 인기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275744,5,0
더블역세권 지식산업센터 주목…‘가산 아이에스비즈타워’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000172956,0,0
"길음뉴타운 아파트 `길음래미안1차` , 더블역세권으로 주목",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274249,1,0
"[입주타임] 5호선 역세권, 동대문구 `답십리파크자이` ①입지편",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274349,0,0
역세권 입지 갖춘 ‘광교중앙역 SK VIEW’ 눈길,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=057&aid=0001310267,0,0
"강동구 아파트 `고덕그라시움` , 초역세권·직주근접 입지로 주목",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274357,2,0
"3호선 초역세권 아파트 성동구 `금호대우`, 굳건한 입지 `눈길`",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274352,3,0
[GTX C 노선 예타 통과·A 노선 연내 착공] 의정부서 삼성까지 16분 ... '빨라...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003462881,35,2
"분당선·신분당선 초역세권 아파트 정자동 `상록우성`, 최근 전세 거래",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275896,0,0
"강북구 미아동 아파트 `벽산라이브파크` , 숲세권·초역세권 입지로 인기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275903,2,0
올 수도권 분양단지 청약률 상위 10곳 중 9곳이 ‘역세권’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002298624,1,1
"강북구 미아뉴타운 아파트 `SK북한산시티` , 초역세권 단지로 눈길",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275016,6,1
[경매사냥] 3억원 미만 서울 역세권 다세대…마포구 서교동 성일서교빌라 43....,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000421860,2,6
"HDC현대산업개발, 1호선 봉명역 역세권 ‘봉서산 아이파크’ 분양중",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002300465,0,1
새로 닻 올리는 서울 재개발…왕십리역세권도 가세,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000420864,13,6
'내 집 마련' 1번 조건은 역시 역세권,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004120059,7,3
"광교신도시 이의동 아파트 `e편한세상광교` , 초역세권·직주근접 입지로 인기",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004275744,5,0
더블역세권 지식산업센터 주목…‘가산 아이에스비즈타워’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000172956,0,0
"길음뉴타운 아파트 `길음래미안1차` , 더블역세권으로 주목",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274249,1,0
"[입주타임] 5호선 역세권, 동대문구 `답십리파크자이` ①입지편",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274349,0,0
역세권 입지 갖춘 ‘광교중앙역 SK VIEW’ 눈길,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=057&aid=0001310267,0,0
"강동구 아파트 `고덕그라시움` , 초역세권·직주근접 입지로 주목",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274357,2,0
"3호선 초역세권 아파트 성동구 `금호대우`, 굳건한 입지 `눈길`",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004274352,3,0
[GTX C 노선 예타 통과·A 노선 연내 착공] 의정부서 삼성까지 16분 ... '빨라...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003462881,35,2
간석오거리역 4번 출구 앞 초역세권 `더웰` 선시공 후분양 진행,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002498742,0,0
서울 노량진·천호 역세권에 200가구 규모 청년주택 건설,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=023&aid=0003413116,2,0
김포도시철도 내년 7월 정상개통…역세권 단지 호재,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004270277,0,0
"부동산전문가들 ""서울시 주택공급안, 좋은 아이디어…시장 안정은 지켜봐야""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004377981,0,0
더블 역세권 복층형 오피스텔 ‘한강신도시 연세7차 두애틱’ 분양,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001476213,0,0
서울 도심 역세권 입지에 소형 프리미엄 오피스텔 분양 관심몰이,https://search.naver.com/p/crd/rd?m=1&px=319&py=1338&sx=319&sy=712&p=UC4U6wprvTVsslqBNkossssstTZ-065765&q=%EC%84%9C%EC%9A%B8%26%EB%B6%80%EB%8F%99%EC%82%B0%26%EC%97%AD%EC%84%B8%EA%B6%8C&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=fTIjFWuBVTw93U0a7qWbew%3D%3D&time=1581389683714&bt=8&a=nws*e.nav&r=11&i=8800010E_000000000000000001476213&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D016%26aid%3D0001476213,0,0
서울 상권지도 달라졌네.. 골목상권 뜨고 역세권 지고,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004124124,13,1
거여역역세권 입지 확보된`송파 이스트원`지주택 아파트 조합원 모집,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002498198,0,0
분양시장 대세 '역세권'… 청약경쟁률 상위 10곳 중 9곳 차지,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004267994,0,2
"송파구 잠실동 주상복합 `갤러리아팰리스` , 몰세권·더블역세권으로 주목",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004273702,0,1
"해외건설협회, 인도네시아 부동산협회와 MOU 체결",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003460743,0,0
건대·세종대 2.7호선 더블 역세권 투자실수요자 안성맞춤 건대하이뷰 복층 오...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004377816,2,0
