title,link,like,angry
"""내년 집값 하락 계속된다""…부동산전문가 4인이 말하는 '2019년 부동산시장'",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0008985255,276,169
도심에 3만5000가구 공급 숨통… 도로위 주택은 의문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000423144,2,4
"[단독] GIC, 한국 주거용 부동산에 첫 투자",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004278889,8,0
부동산 전문가들 “내년 전국 집값 ↓… 수도권은 계속 ↑”,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=005&aid=0001159667,17,11
도로위·빈빌딩에 주택공급…박원순 실험적 부동산정책 왜?,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0008980147,3,9
3기 신도시 확정·GTX 조기착공 | 철도망으로 가까워지는 수도권 부동산 재테...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=024&aid=0000061205,8,3
"부동산 정책, 참여정부보다 세다…분양원가 공개 등 추가 가능성",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004384782,34,11
[시론] 문제는 적당한 가격의 주택 부족,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004384441,1,0
"'핀셋 공급' vs '불쏘시개'…3기 신도시, 관건은 GTX [이슈라인]",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003327748,85,197
"[생생경제] 3기 신도시 발표, 수도권 공급 확대하고 서울 집값까지 잡을까?",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=052&aid=0001230795,1,1
내년 전국 새 아파트 35만 가구 공급…수도권이 20만 가구 차지,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004066675,0,1
[2018 산업] 박탈감 키운 부동산시장…서울·지방 양극화 극심,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0010529243,17,137
"[송태엽의 세상읽기] 역시 부동산, 역시 서울, 역시 강남",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001232496,5,1
[한국언론 오도독] 서울 2달 만에 공급부족? 아파트 공급부족론의 허상,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=056&aid=0010651484,78,22
"부동산114 ""올해 이슈 집값 안정 총력전""",https://search.naver.com/p/crd/rd?m=1&px=311&py=1186&sx=311&sy=712&p=UCc2twprvh8ssdgu6AhssssstuZ-106848&q=%EC%84%9C%EC%9A%B8%26%EB%B6%80%EB%8F%99%EC%82%B0%26%EA%B3%B5%EA%B8%89%EB%B6%80%EC%A1%B1&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=R%2F8hncmAqbmkyBh8jGAaAg%3D%3D&time=1581381208995&bt=9&a=nws*j.nav&r=10&i=88000114_000000000000000010651484&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D103%26oid%3D056%26aid%3D0010651484,78,22
숨죽인 부동산 시장에 교통·자족기능 갖춘 ‘물량 폭탄’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=005&aid=0001158165,32,31
[남자의 재테크] 2018년 부동산 시장을 회고하며,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000457610,0,0
[투자의 기초] 올 부동산 시장 좋았지만 주가 하락하면 집값도 떨어져 주의를,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=469&aid=0000352070,4,0
"지방 부동산 침체의 '뒤끝'…""건설업계 돈 걱정 시작됐다""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000417183,26,47
"[인터뷰] 이강재 부동산원스톱 대표 ""정부, 지방 미분양 해결 의지 있나""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004064741,0,0
'부동산 공급 부족'이라는 헛소리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=002&aid=0002073928,102,61
9·21공급대책 잇단 주민·지자체 반대로 '휘청'…차질 우려(종합),https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0010375007,32,175
[9.21공급대책]GB해제 갈등 일단 '봉합'…직권해제 가능성 여전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0008822247,2,7
"공급부족론은 허구, 보유세 제대로 올려야",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=006&aid=0000094011,34,23
“분양가상한제·과표 정상화 등 실질 정책 먼저” “세금 규제 이은 대규모 ...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=032&aid=0002912297,5,2
데이터로 무장한 30대 부동산 전문가 3명의 내년 시장 전망,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003183035,107,493
"부동산대책, 빠르면 이번주 발표…6억원 이하 1주택자, 종부세 강화 여부 '촉...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000415095,11,80
"홍남기 ""부동산 보유세 비중 높여야…취득·양도세 인하는 신중""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010501029,9,52
서울 주택 인·허가 78% 급감…2년후 공급대란 우려↑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=448&aid=0000257898,69,345
시장은 들끓는데…알맹이는 다 빠진 부동산 대책,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0010614032,4,21
